tweet_id,favorite_counts,retweet_counts,follower_counts,friend_counts,status_counts,language,date_time
760252756032651264,3950,867,8794505,17,12474,en,2016-08-01 23:15:56
760190180481531904,5697,1802,8794505,17,12474,en,2016-08-01 19:07:17
760153949710192640,0,31,8794505,17,12474,en,2016-08-01 16:43:19
759943073749200896,5943,2080,8794505,17,12474,en,2016-08-01 02:45:22
759923798737051648,14669,5637,8794505,17,12474,en,2016-08-01 01:28:46
759846353224826880,6735,1966,8794505,17,12474,en,2016-07-31 20:21:02
759793422261743616,5955,1906,8794505,17,12474,en,2016-07-31 16:50:42
759557299618865152,4696,1181,8794505,17,12474,en,2016-07-31 01:12:26
759447681597108224,8483,2451,8794505,17,12474,en,2016-07-30 17:56:51
759446261539934208,1672,486,8794505,17,12474,en,2016-07-30 17:51:13
759197388317847553,6075,1943,8794505,17,12474,en,2016-07-30 01:22:17
759159934323924993,0,1153,8794505,17,12474,en,2016-07-29 22:53:27
759099523532779520,14497,4162,8794505,17,12474,en,2016-07-29 18:53:24
759047813560868866,6478,2006,8794505,17,12474,en,2016-07-29 15:27:55
758854675097526272,3546,893,8794505,17,12474,en,2016-07-29 02:40:28
758828659922702336,11205,3821,8794505,17,12474,en,2016-07-29 00:57:05
758740312047005698,5729,1611,8794391,17,12474,en,2016-07-28 19:06:01
758474966123810816,3799,998,8794391,17,12474,en,2016-07-28 01:31:38
758467244762497024,4773,2206,8794391,17,12474,en,2016-07-28 01:00:57
758405701903519748,5212,1906,8794391,17,12474,en,2016-07-27 20:56:24
758355060040593408,3390,1066,8794391,17,12474,en,2016-07-27 17:35:10
758099635764359168,19033,9964,8794391,17,12474,en,2016-07-27 00:40:12
758041019896193024,2699,373,8794391,17,12474,en,2016-07-26 20:47:17
757741869644341248,6866,3237,8794391,17,12474,en,2016-07-26 00:58:34
757729163776290825,0,7908,8794391,17,12474,en,2016-07-26 00:08:05
757725642876129280,4539,1208,8794391,17,12474,en,2016-07-25 23:54:05
757611664640446465,4562,1105,8794391,17,12474,en,2016-07-25 16:21:11
757597904299253760,0,299,8794391,17,12474,en,2016-07-25 15:26:30
757596066325864448,4327,1052,8794391,17,12474,en,2016-07-25 15:19:12
757400162377592832,15104,6838,8794391,17,12474,en,2016-07-25 02:20:45
757393109802180609,5804,1731,8794391,17,12474,en,2016-07-25 01:52:43
757354760399941633,4511,1417,8794391,17,12474,en,2016-07-24 23:20:20
756998049151549440,6275,1980,8794391,17,12474,en,2016-07-23 23:42:53
756939218950160384,6640,2001,8794391,17,12474,en,2016-07-23 19:49:07
756651752796094464,5038,1298,8794391,17,12474,en,2016-07-23 00:46:50
756526248105566208,10394,3566,8794391,17,12474,en,2016-07-22 16:28:07
756303284449767430,3923,1089,8794391,17,12474,en,2016-07-22 01:42:09
